Character;Sentence
Mr. Borgin;Your son has fine taste, sir.
Lucius Malfoy; Hopefully my son will amount to more than a thief, Mr. Borgin.
Lucius Malfoy;Though if his marks don't pick up --
Draco; It's not my fault the teachers have favorites. 
Draco;That Hermione Granger --
Lucius Malfoy;I would have thought you'd be ashamed that a girl of no wizarding family beat you in every exam.
Mr. Borgin;It's the same all over. 
Mr. Borgin;Wizard blood is counting for less everywhere.
Lucius Malfoy;Not with me.
Lucius Malfoy ;Very good. 
Lucius Malfoy ;I'll expect you at the manor tomorrow. 
Lucius Malfoy ;Come, Draco.
Witch;Not lost, are you, my dear?
Harry;I'm fine, thank you. I was just going...
Witch;Come with us. 
Witch;We'll help you find your way back.
Harry; No. Please...
Hagrid; Harry?
Harry;Hagrid!
Hagrid;What do you think you're doing down here? Come on.
Hagrid;You're a mess, Harry. 
Hagrid;Skulking around Knockturn Alley? 
Hagrid;Dodgy place.
Hagrid;Don't want no one to see you there.
Hagrid;People will think you're up to no good.
Harry;I was lost, I...
Harry;Hang on.
Harry;What were you doing down there then?
Hagrid;Me? I was... 
Hagrid;I was looking for Flesh-Eating Slug Repellent.
Hagrid;They're ruining all the school cabbages.
Hermione;Harry. Hagrid.
Hagrid;Hello, Hermione.
Hermione;It's so good to see you.
Harry;It's great to see you too.
Hermione;What did you do to your glasses?
Hermione;Oculus Reparo.
Harry;I definitely need to remember that one.
Hagrid;You'll be all right now then, Harry?
Hagrid;Right. I'll leave you to it.
Hermione;Okay, bye.
Harry;Thank you. Bye.
Hermione;Come on, everyone's been so worried.
Mrs. Weasley;Harry.
Mrs. Weasley;Thank goodness.
Mrs. Weasley;We'd hoped you'd only gone one grate too far.
Mrs. Weasley;Ohh, Here he is.
Ron;Mum fancies him.
Photographer;Make way there, please.
Photographer;Let me by, madam. Thank you.
Photographer;Excuse me, little girl.
Photographer;This is for the Daily Prophet.
Gilderoy Lockhart;It can't be. HarryPotter?
Photographer;HarryPotter!
Photographer;Excuse me, madam.
Gilderoy Lockhart;Nice big smile, Harry.
Gilderoy Lockhart;Together, you and I rate the front page.
Gilderoy Lockhart;Ladies and gentlemen, what an extraordinary moment this is.
Gilderoy Lockhart;When young Harrystepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me…
Gilderoy Lockhart;which, incidentally, is currently celebrating its 27th week atop the Daily Prophet bestseller list
Gilderoy Lockhart;he had no idea that he would, in fact, be leaving with my entire collected works free of charge.
Gilderoy Lockhart;Now, ladies?
Mrs. Weasley;Harry, now you give me those, and I'll get them signed.
Mrs. Weasley;All of you wait outside.
Mrs. Weasley;That's it Ron.
Draco;I'll bet you loved that, didn't you, Potter?
Draco;Famous HarryPotter.
Draco;Can't go into a bookshop without making the front page.
Ginny;Leave him alone.
Draco;Look, Potter.
Draco;You've got yourself a girlfriend.
Lucius Malfoy;Now, now, Draco, play nicely.
Lucius Malfoy;Mr. Potter.
Lucius Malfoy;Lucius Malfoy. We meet at last.
Lucius Malfoy;Forgive me.
Lucius Malfoy;Your scar is legend.
Lucius Malfoy;As, of course, is the wizard who gave it to you.
Harry;Voldemort killed my parents.
Harry;He was nothing more than a murderer.
Lucius Malfoy;You must be very brave to mention his name.
Lucius Malfoy;Or very foolish.
Hermione;Fear of a name only increases fear of the thing itself.
Lucius Malfoy;And you must be Miss Granger.
Lucius Malfoy;Yes, Draco has told me all about you. 
Lucius Malfoy;And your parents.
Lucius Malfoy;Muggles, aren't they?
Lucius Malfoy;Let me see.
Lucius Malfoy;Red hair, vacant expressions tatty, secondhand book.
Lucius Malfoy;You must be the Weasleys.
Mr. Weasley;Children, It's mad in here.
Mr. Weasley;Let's go outside.
Lucius Malfoy;Well, well, well. Weasley senior.
Mr. Weasley;Lucius.
Lucius Malfoy;Busy time at the Ministry, Arthur, all those extra raids?
Lucius Malfoy;I do hope they're paying you overtime but judging by the state of this, I'd say not.
Lucius Malfoy;What's the use in being a disgrace to the name of wizard if they don't even pay you well for it?
Mr. Weasley;We have a very different idea about what disgraces the name of wizard, Malfoy.
Lucius Malfoy;Clearly.
Lucius Malfoy;Associating with Muggles.
Lucius Malfoy;And I thought your family could sink no lower.
Lucius Malfoy;I'll see you at work.
Draco;See you at school.
Mr. Weasley;10:58, come on.
Mrs. Weasley;The train will be leaving any moment.
Mrs. Weasley;Oh dear! The train'll be leaving any moment! 
Mr. Weasley;Fred, George, Percy, you first.
Mrs. Weasley;Okay.
Mr. Weasley;After you, dear.
Mrs. Weasley;Come on, Ginny, we'll get you a seat. Hurry.
Harry;Let's go.
TRAINMASTER;What do you two think you're doing?
Harry;Sorry.
Harry;Lost control of the trolley.
Harry;Why can't we get through?
Ron;I don't know.
Ron;The gateway has sealed itself for some reason.
Harry;The train leaves at exactly 11:00.
Harry;We've missed it.
Ron;Harry, if we can't get through maybe Mum and Dad can't get back.
Harry;Maybe we should just go and wait by the car.
Ron;The car.
Harry;Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.
Ron;Aaa, Right.
Ron;Oh, no! The Invisibility Booster must be faulty.
Harry;Come on, then. Let's go lower.
Harry;We need to find the train.
Ron;Okay.
Harry;All we need to do is catch up with the train.
Ron;We can't be far behind.
Harry;Do you hear that?
Ron;We must be getting close.
Harry;Hold on.
Ron;Haaaarryyy!
Ron;Hold oonnn!!!
Ron;Take my hand!
Ron;Hold on!
Harry;I'm trying. Your hand's all sweaty.
Harry;I think we found the train.
Ron;Yeah.
Ron;Welcome home.
Harry;Up! Up!
Ron;It's not working!
Harry;Up! Ron, mind that tree!
HarryAND Ron;Aaahhh! Aaah!
Ron;Stop! Stop! Stop!
Ron;My wand. Look at my wand.
Harry;Be thankful it's not your neck.
Ron;What's happening?
Harry;I don't know.
Harry;Come on, go! Fast!
Ron;Scabbers, you're okay.
Ron;The caaaar!
Ron;Dad's gonna kill me.
Harry;See you, Hedwig.
Harry;So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...
Harry;we almost get killed by a tree...
Harry;Clearly someone doesn't want me here this year.
Filch;Well, take a good look, lads.
Filch;This night might well be the last you spend in this castle.
Filch;Oh, dear, we are in trouble.
Snape;You were seen by no less than seven Muggles.
Snape;Do you have any idea how serious this is?
Snape;You have risked the exposure of our world.
Snape;Not to mention the damage you inflicted on a Whomping Willow.
Snape;that's been on these grounds since before you were born.
Ron;Honestly, Professor Snape, I think it did more damage to us.
Snape;Silence.
Snape;I assure you that were you in Slytherin, and your fate rested with me... 
Snape;the both of you would be on the train home tonight.
Snape;As it is...
Dumbledore;They are not.
Harry;Professor Dumbledore.
Harry;Professor McGonagall.
Snape;Headmaster these boys have flouted the Decree for the Restriction of Underage Wizardry.
Filch;As such...
Dumbledore;I am well aware of our bylaws having written quite a few of them myself.
Dumbledore;However, as head of Gryffindor house it is for Professor McGonagall to determine the appropriate action.
Ron;We'll go and get our stuff, then.
Mcgonagall;What are you talking about, Mr. Weasley?
Ron;You're going to expel us, aren't you?
Mcgonagall;Not today, Mr. Weasley but I must impress on both of you the seriousness of what you have done.
Mcgonagall;I will be writing to your families tonight, and you will both receive detention.
Professor Sprout;Morning, everyone.
Professor Sprout;Good morning, Professor Sprout.
Professor Sprout;Welcome to Greenhouse Three, Second Years. 
Professor Sprout;Today, we will be re-potting Mandrakes. 
Professor Sprout;Now, who here can tell me the properties of the Mandrake? 
Professor Sprout;Yes, Miss Granger.
Hermione;Mandrake, or Mandragora is used to return those who have been Petrified to their original state.
Hermione;It's also quite dangerous. 
Hermione;The Mandrake's cry is fatal to anyone who hears it.
Professor Sprout;Excellent. Ten points to Gryffindor.
Professor Sprout;As our Mandrakes are still only seedlings their cries won't kill you yet.
Professor Sprout;But they could knock you out for hours, which is why I have given you earmuffs for auditory protection.
Professor Sprout;So could you please put them on, right away? Quickly.
Professor Sprout;Flaps tight down, and watch me closely.
Professor Sprout;You grasp your Mandrake firmly.
Professor Sprout;You pull it sharply up out of the pot.
Professor Sprout;Got it? And now you dunk it down into the other pot
Professor Sprout;and pour a little sprinkling of soil to keep him warm.
Professor Sprout;Longbottom's been neglecting his earmuffs.
Seamus;No, ma'am, he's just fainted.
Professor Sprout;Yes, well, just leave him there.
Professor Sprout;Right, on we go.
Professor Sprout;Plenty of pots to go around.
Professor Sprout;Grasp your Mandrake and pull it up.
Percy;Hello, Sir Nicolas.
Sir Nicholas;Hello, Percy, Miss Clearwater.
Ron;Say it. I'm doomed.
Harry;You're doomed.
Colin;Hi, Harry.
Colin;I'm Colin Creevey. I'm in Gryffindor too.
Harry;Hi, Colin. Nice to meet you.
Dean;Ron, is that your owl?
Ron;Bloody bird's a menace.
Seamus;Heads up, everyone. 
Seamus;Weasley's gotten himself a Howler.
Neville;Go on, Ron. 
Neville;I ignored one from my gran once. 
Neville;It was horrible.
Mrs. Weasley;RonALD WEASLEY! 
Mrs. Weasley;HOW DARE YOU STEAL THAT CAR!
Mrs. Weasley;I AM ABSOLUTELY DISGUSTED! 
Mrs. Weasley;YOUR FATHER'S NOW FACING AN INQUIRY AT WORK AND IT'S ENTIRELY YOUR FAULT! 
Mrs. Weasley;IF YOU PUT ANOTHER TOE OUT OF LINE WE'LL BRING YOU STRAIGHT HOME!
Mrs. Weasley;And, Ginny, dear, congratulations on making Gryffindor.
Mrs. Weasley;Your father and I are so proud.
Gilderoy Lockhart;Let me introduce you to your new Defense Against the Dark Arts Teacher. 
Gilderoy Lockhart;Me. Gilderoy Lockhart, Order of Merlin, Third Class, Honorary Member of the Dark Force Defense League and five times winner of Witch Weekly's Most-Charming-Smile Award  
Gilderoy Lockhart;But I don't talk about that. 
Gilderoy Lockhart;I didn't get rid of the Bandon Banshee by smiling at her!
Gilderoy Lockhart;Now, be warned.
Gilderoy Lockhart;It is my job to arm you against the foulest creatures known to wizardkind.
Gilderoy Lockhart;You may find yourselves facing your worst fears in this room.
Gilderoy Lockhart;Know only that no harm can befall you whilst I am here.
Gilderoy Lockhart;I must ask you not to scream.
Gilderoy Lockhart;It might provoke them.
Seamus;Cornish pixies?
Gilderoy Lockhart;Freshly caught Cornish pixies.
Gilderoy Lockhart;Laugh if you will, Mr. Finnegan but pixies can be devilishly tricky little blighters.
Gilderoy Lockhart;Let's see what you make of them.
Gilderoy Lockhart;Come on now, round them up, round them up!
Gilderoy Lockhart;They're only pixies.
Neville;Please, get me down!
Hermione;Get off me!
Harry;Stop. Hold still!
Gilderoy Lockhart;Peskipiksi Pesternomi!
Gilderoy Lockhart;I'll ask you three to just nip the rest of them back into their cage.
Ron;What do we do now?
Hermione;Immobulus!
Neville;Why is it always me?
WOOD;I spent the summer devising a whole new Quidditch program.
WOOD;We're gonna train earlier, harder and longer.
WOOD;What...? I don't believe it.
WOOD;Where you think you're going, Flint?
Flint;Quidditch practice.
WOOD;I booked the pitch for Gryffindor today.
Flint;Easy, Wood. I've got a note.
Ron;I smell trouble.
WOOD;I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.
WOOD;You've got a new Seeker. Who?
Harry;Malfoy?
Draco;That's right.
Draco;And that's not all that's new this year.
Ron;Those are Nimbus 2001 s.
Ron;How did you get those?
Flint;A gift from Draco's father.
Draco;You see, Weasley, unlike some, my father can afford the best.
Hermione;At least no one on the Gryffindor team had to buy their way in.
Hermione;They got in on pure talent.
Draco;No one asked your opinion, you filthy little Mudblood.
Ron;You'll pay for that one, Malfoy.
Ron;Eat slugs!
Hermione;You okay, Ron?
Hermione;Say something.
Colin;Wow! Can you turn him around, Harry?
Harry;No, Colin, get out of the way.
Harry;Let's take him to Hagrid's.
Harry;He'll know what to do.
Hagrid;This calls for a specialist's equipment.
Hagrid;Nothing to do but wait till it stops, I'm afraid.
Hagrid;Okay.
Hagrid;Better out than in.
Hagrid;Who was Rontrying to curse, anyway?
Harry;Malfoy. He called Hermione...
Harry;Well, I don't know exactly what it means.
Hermione;He called me a Mudblood.
Hagrid;He did not.
Harry;What's a Mudblood?
Hermione;"It means ""dirty blood."
Hermione;Mudblood's a foul name for someone who's Muggle-born.
Hermione;Someone with non-magic parents.
Hermione;Someone like me.
Hermione;It's not a term one usually hears in civilized conversation.
Hagrid;See, the thing is, Harry, there are some wizards, like the Malfoy family...who think they're better than everyone else because they're pure-blood.
Harry;That's horrible.
Ron;It's disgusting.
Hagrid;And it's codswallop to boot.
Hagrid;Dirty blood.
Hagrid;Why, there isn't a wizard alive today that's not half-blood or less.
Hagrid;More to the point, they've yet to think of a spell that our Hermione can't do.
Hagrid;Come here.
Hagrid;Don't you think on it, Hermione.
Hagrid;Don't you think on it for one minute.
Gilderoy Lockhart;Harry, Harry, Harry.
Gilderoy Lockhart;Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?
Harry;Not really.
Gilderoy Lockhart;Fame is a fickle friend, Harry.
Gilderoy Lockhart;Celebrity is as celebrity does.
Gilderoy Lockhart;Remember that.
Voice;Come.
Voice;Come to me.
Harry;What?
Gilderoy Lockhart;Sorry?
Harry;That voice.
Gilderoy Lockhart;Voice?
Harry;Didn't you hear it?
Gilderoy Lockhart;What are you talking about, Harry?
Gilderoy Lockhart;I think you're getting a bit drowsy.
Gilderoy Lockhart;And great Scott, no wonder. 
Gilderoy Lockhart;Look at the time.
Gilderoy Lockhart;We've been here nearly four hours.
Gilderoy Lockhart;Spooky how the time flies when one is having fun.
Harry;Spooky.
Voice;Blood.
Voice;I smell blood.
Voice;Let me rip you.
Voice;Let me kill you.
Voice;Kill!
Voice;Kill!
Voice;Kill!
Hermione;Harry!
Harry;Did you hear it?
Ron;Hear what?
Harry;That voice.
Hermione;Voice? What voice?
Harry;I heard it first in Lockhart's office.
Harry;And then again just...
Voice;It's time.
Harry;It's moving.
Harry;I think it's going to kill.
Ron;Kill?
Hermione;Harry, wait! Not so fast!
Harry;Strange.
Harry;I've never seen spiders act like that.
Ron;I don't like spiders.
Ron;What's that?
Hermione;"The Chamber of Secrets has been opened. 
Enemies of the Heir, beware."
Hermione;Enemies of the Heir, beware.
Hermione;It's written in blood.
Harry;Oh, no.
Harry;It's Filch's cat.
Harry;It's Mrs. Norris.
Draco;Enemies of the Heir, beware.
Draco;You'll be next, Mudbloods.
Filch;What's going on here?
Filch;Go on. Make way, make way.
Filch;Potter?
Filch;What are you...?
Filch;Mrs. Norris?
Filch;You've murdered my cat.
Harry;No. No.
Filch;I'll kill you.
Filch;I'll kill you!
Dumbledore;Argus!
Dumbledore;Argus, I...
Dumbledore;Everyone will proceed to their dormitories immediately.
Dumbledore;Everyone except you three.
BOY;Ravenclaws, follow me.
Dumbledore;She's not dead, Argus.
Dumbledore;She has been Petrified.
Gilderoy Lockhart;Aghh! Thought so.
Gilderoy Lockhart;So unlucky I wasn't there.
Gilderoy Lockhart;I know exactly the countercurse that could've spared her.
Dumbledore;But how she has been Petrified, I cannot say.
Filch;Ask him.
Filch;It's him that's done it.
Filch;You saw what he wrote on the wall.
Harry;It's not true, sir. I swear.
Harry;I never touched Mrs. Norris.
Filch;Rubbish.
Snape;If I might, headmaster?
Snape;Perhaps Potter and his friends were just in the wrong place at the wrong time.
Snape;However the circumstances are suspicious.
Snape;I, for one, don't recall seeing Potter at dinner.
Gilderoy Lockhart;I'm afraid that's my doing, Severus.
Gilderoy Lockhart;You see, Harrywas helping me answer my fan mail.
Hermione;That's why Ronand I went looking for him, professor.
Hermione;We'd just found him when he said...
Snape;Yes, Miss Granger?
Harry;When I said I wasn't hungry.
Harry;We were heading back to the common room when we found Mrs. Norris.
Dumbledore;Innocent until proven guilty, Severus.
Filch;My cat has been Petrified.
Filch;I want to see some punishment!
Dumbledore;We will be able to cure her, Argus.
Dumbledore;As I understand it, Madam Sprout has a very healthy growth of Mandrake.
Dumbledore;When matured, a potion will be made which will revive Mrs. Norris.
Dumbledore;And in the meantime I strongly recommend caution to all.
Hermione;It's a bit strange, isn't it?
Harry;Strange?
Hermione;You hear this voice, a voice only you can hear...
Hermione;and then Mrs. Norris turns up Petrified. It's just strange.
Harry;Do you think I should have told them?
Harry;Dumbledore and the others, I mean?
Ron;Are you mad?
Hermione;No, Harry. Even in the wizarding world, hearing voices isn't a good sign.
PICTURE;She's right, you know.
Mcgonagall;Could I have your attention,please?
Mcgonagall;Right. Now, today, we will be transforming animals into water goblets.
Mcgonagall;Like so.
Mcgonagall;One, two, three. Vera Verto.
Mcgonagall;Now it's your turn.
Mcgonagall;Who would like to go first?
Mcgonagall;Ahh , Mr. Weasley.
Mcgonagall;One, two, three. Vera Verto.
Ron;Vera Verto!
Mcgonagall;That wand needs replacing, Mr. Weasley.
Mcgonagall;Yes, Miss Granger?
Hermione;Professor I was wondering if you could tell us about the Chamber of Secrets.
Mcgonagall;Very well.
Mcgonagall;You all know, of course that Hogwarts was founded over a thousand years ago by the four greatest witches and wizards of the age:
Mcgonagall;Godric Gryffindor,
Mcgonagall;Helga Hufflepuff...
Mcgonagall;Rowena Ravenclaw
Mcgonagall;Salazar Slytherin.
Mcgonagall;Now, three of the founders coexisted quite harmoniously.
Mcgonagall;One did not.
Ron;Three guesses who.
Mcgonagall;Salazar Slytherin wished to be more selective about the students admitted to Hogwarts.
Mcgonagall;He believed magical learning should be kept within all-magic families.
Mcgonagall;In other words, pure-bloods.
Mcgonagall;Unable to sway the others, he decided to leave the school.
Mcgonagall;Now, according to legend Slytherin had built a hidden chamber in this castle known as the Chamber of Secrets.
Mcgonagall;Though, shortly before departing, he sealed it until that time when his own true Heir returned to the school.
Mcgonagall;The Heir alone would be able to open the Chamber and unleash the horror within, and by so doing purge the school of all those who in Slytherin's view, were unworthy to study magic.
Hermione;Muggle-borns.
Mcgonagall;Well , Naturally, the school has been searched many times.
Mcgonagall;No such chamber has been found.
Hermione;Professor? What exactly does legend tell us lies within the Chamber?
Mcgonagall;The Chamber is said to be home to something that only the Heir of Slytherin can control.
Mcgonagall;It is said to be the home of a monster.
Ron;Do you think it's true?
Ron; Do you think there really is a Chamber of Secrets?
Hermione;Yes. Couldn't you tell? 
Hermione;McGonagall's worried. 
Hermione;All the teachers are.
Harry;If there really is a Chamber of Secrets, and it has been opened, that means... 
Hermione;The Heir of Slytherin has returned to Hogwarts. 
Hermione;The question is, who is it?
Ron;Let's think. 
Ron;Who do we know who thinks all Muggle-borns are scum?
